[2025-08-18 17:24:03] === Starting Large Orgs Bucket 2 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket2.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket2.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:32:22]   OK telekom-mms/terraform-aws-dynamodb: 1 commits, 0 PRs
[2025-08-18 17:32:23]   OK telekom-mms/terraform-aws-cloudwatch: 1 commits, 0 PRs
[2025-08-18 17:32:25]   OK telekom-mms/terraform-aws-api-gateway: 1 commits, 0 PRs
[2025-08-18 17:32:27]   OK telekom-mms/kavir: 2 commits, 10 PRs
[2025-08-18 17:32:28]   OK telekom-mms/icingaweb2: 0 commits, 0 PRs
[2025-08-18 17:32:28] Processing org 6/13: Oracle (oracle)
[2025-08-18 17:32:39]   OK oracle/coherence: 73 commits, 10 PRs
[2025-08-18 17:32:42]   OK oracle/graal: 0 commits, 100 PRs
[2025-08-18 17:32:43]   OK oracle/gcc: 0 commits, 0 PRs
[2025-08-18 17:32:45]   OK oracle/python-select-ai: 22 commits, 4 PRs
[2025-08-18 17:32:47]   OK oracle/weblogic-kubernetes-operator: 23 commits, 1 PRs
[2025-08-18 17:32:50]   OK oracle/graalpython: 0 commits, 44 PRs
[2025-08-18 17:32:53]   OK oracle/netsuite-suitecloud-sdk: 0 commits, 86 PRs
[2025-08-18 17:32:55]   OK oracle/ktls-utils: 14 commits, 56 PRs
[2025-08-18 17:32:57]   OK oracle/macaron-utilities: 5 commits, 3 PRs
[2025-08-18 17:33:00]   OK oracle/accelerated-data-science: 30 commits, 88 PRs
[2025-08-18 17:33:02]   OK oracle/ocifs: 1 commits, 34 PRs
[2025-08-18 17:33:04]   OK oracle/solaris-ips: 0 commits, 0 PRs
[2025-08-18 17:33:07]   OK oracle/truffleruby: 0 commits, 77 PRs
[2025-08-18 17:33:10]   OK oracle/javavscode: 10 commits, 92 PRs
[2025-08-18 17:33:13]   OK oracle/macaron: 16 commits, 66 PRs
[2025-08-18 17:33:15]   OK oracle/weblogic-toolkit-ui: 0 commits, 80 PRs
[2025-08-18 17:33:18]   OK oracle/weblogic-deploy-tooling: 15 commits, 0 PRs
[2025-08-18 17:33:21]   OK oracle/weblogic-image-tool: 5 commits, 7 PRs
[2025-08-18 17:33:23]   OK oracle/solaris-userland: 0 commits, 0 PRs
[2025-08-18 17:33:25]   OK oracle/nosql-python-sdk: 2 commits, 45 PRs
[2025-08-18 17:33:28]   OK oracle/graaljs: 0 commits, 9 PRs
[2025-08-18 17:33:30]   OK oracle/python-oracledb: 45 commits, 1 PRs
[2025-08-18 17:33:33]   OK oracle/oci-go-sdk: 0 commits, 89 PRs
[2025-08-18 17:33:35]   OK oracle/weblogic-monitoring-exporter: 7 commits, 0 PRs
[2025-08-18 17:33:37]   OK oracle/linux-uek: 4 commits, 0 PRs
[2025-08-18 17:33:39]   OK oracle/dtrace-utils: 0 commits, 6 PRs
[2025-08-18 17:33:42]   OK oracle/graalvm-reachability-metadata: 0 commits, 46 PRs
[2025-08-18 17:33:44]   OK oracle/coherence-go-client: 2 commits, 98 PRs
[2025-08-18 17:33:47]   OK oracle/coherence-cli: 14 commits, 96 PRs
[2025-08-18 17:33:49]   OK oracle/adb-free: 2 commits, 12 PRs
[2025-08-18 17:33:51]   OK oracle/langchain-oracle: 10 commits, 12 PRs
[2025-08-18 17:33:54]   OK oracle/terraform-provider-oci: 0 commits, 65 PRs
[2025-08-18 17:33:57]   OK oracle/nosql-java-sdk: 2 commits, 96 PRs
[2025-08-18 17:34:00]   OK oracle/microservices-datadriven: 1 commits, 94 PRs
[2025-08-18 17:34:02]   OK oracle/adaptivemm: 0 commits, 38 PRs
[2025-08-18 17:34:04]   OK oracle/glibc: 0 commits, 0 PRs
[2025-08-18 17:34:05]   OK oracle/binutils-gdb: 0 commits, 0 PRs
[2025-08-18 17:34:07]   OK oracle/graalpy-extensions: 31 commits, 11 PRs
[2025-08-18 17:34:09]   OK oracle/db-sharding: 0 commits, 25 PRs
[2025-08-18 17:34:12]   OK oracle/pushiomanager-react-native: 0 commits, 14 PRs
[2025-08-18 17:34:14]   OK oracle/oci-compute-jenkins-plugin: 0 commits, 7 PRs
[2025-08-18 17:34:16]   OK oracle/oracle-db-appdev-monitoring: 3 commits, 50 PRs
[2025-08-18 17:34:19]   OK oracle/spring-cloud-oracle: 3 commits, 95 PRs
[2025-08-18 17:34:21]   OK oracle/weblogic-azure: 1 commits, 83 PRs
[2025-08-18 17:34:23]   OK oracle/mcp: 12 commits, 4 PRs
[2025-08-18 17:34:26]   OK oracle/cluster-api-provider-oci: 2 commits, 84 PRs
[2025-08-18 17:34:28]   OK oracle/coherence-py-client: 13 commits, 97 PRs
